mix_ID,w_mol0,w_mol1,w_mol2,w_mol3,w_mol4
1,0.9933,0.0067,0,0,0
2,0,1,0,0,0
3,0,0,1,0,0
4,0,0,0,1,0
5,0,0,0,0.0067,0.9933
6,0.2,0.2,0.2,0.2,0.2
7,0.4,0.2,0.2,0.2,0
8,0.6,0.2,0.2,0,0
9,0.8,0,0,0,0
10,0,0.2,0.2,0.2,0.4
11,0,0,0.2,0.2,0.6
12,0,0,0,0.2,0.8
13,0,0.2,0.6,0.2,0
14,0,0.6,0.2,0.2,0
15,0,0.2,0.2,0.6,0
16,0.6667,0,0,0,0.3333
17,0,0,0.8,0.2,0
18,0,0.6667,0,0.3333,0
19,0,0,0,0,1
20,0.2,0,0,0,0.8
21,0.26667,0,0,0,0.73333
22,0.4,0,0,0,0.6
23,0.6,0,0,0,0.4
24,0.66667,0,0,0,0.33333
25,0.8,0,0,0,0.2
26,1,0,0,0,0
27,0.06666,0,0,0,0.93337
28,00.93337,0,0,0,0.06666
29,0.13333,0,0,0,0.86667
30,0.86667,0,0,0,0.13333